"Filename","Segment","WC","adverb","negate","quant","posemo","anx","anger","sad","family","friend","female","male","insight","cause","discrep","tentat","certain","differ","see","hear","feel","body","health","sexual","ingest","affiliation","achiev","power","reward","risk","motion","space","work","leisure","home","money","relig","death","exp_relate","exp_body","exp_imperson","exp_affect","exp_space","exp_drives","exp_concerns","exp_transc","experiential","epistemic"
"fontane_wuthenow_1883_de.txt",1,41761,4.89,1.57,2.59,3.73,0.29,0.41,0.61,0.93,0.31,0.95,1.77,2.01,1.69,2.51,2.73,3.2,4.7,0.96,1.04,0.39,0.65,0.47,0.32,0.22,1.64,2.67,2.61,0.56,0.34,2.04,10.46,1.48,1.22,0.35,0.33,0.73,0.18,3.96,1.66,5.73,5.04,14.89,7.82,3.38,0.91,37.66,25.89
"sapper_dummerle_1905_de.txt",1,85572,5.06,2.27,2.78,3.43,0.36,0.28,0.85,2.37,0.44,1.58,2.53,1.69,1.94,3.12,3.03,3.81,4.67,1.11,1.77,0.46,0.85,0.51,0.2,0.45,2.4,2.71,2.68,0.47,0.34,2.7,10.33,1.85,0.87,1.04,0.69,0.58,0.16,6.92,2.01,4.98,4.92,16.37,8.6,4.45,0.74,44.01,28.37
"dostoevskij_verbrechen_1882_ru.txt",1,207687,6.07,2.05,3.01,2.96,0.66,0.93,1,0.6,0.22,0.4,2.65,2.63,1.94,2.72,3.28,4.05,4.62,1.14,1.39,0.42,1.44,0.65,0.28,0.37,1.03,2.76,1.5,0.38,0.49,2.42,9.65,1.39,0.6,0.62,0.62,0.64,0.3,3.87,2.74,6.64,5.55,15.02,6.16,3.23,0.94,37.51,30.37
"fontane_reise_1894_de.txt",1,36288,5.11,1.77,2.78,3.4,0.23,0.33,0.59,0.62,0.38,0.44,1.4,1.83,1.86,2.7,3.1,3.61,5.1,0.81,0.93,0.41,0.81,0.78,0.2,0.46,1.58,2.51,1.74,0.48,0.3,2.31,10.99,1.57,0.99,0.42,0.39,0.56,0.21,2.84,2.25,5.99,4.55,15.45,6.61,3.37,0.77,35.84,27.86
"doeblin_butterblume_1913_de.txt",1,31746,3.26,1.1,1.71,2.66,0.56,0.7,1.1,0.62,0.24,0.82,2.62,1.39,1.23,1.51,1.85,2.15,2.78,1.39,1.2,1,3.3,0.66,0.68,0.63,0.77,2.3,2,0.27,0.27,3.73,13.3,1.2,1.24,0.81,0.46,0.61,0.38,4.3,5.27,4.23,5.02,20.62,5.61,3.71,0.99,45.52,16.98
"lasswitz_planeten02_1897_de.txt",1,121000,3.68,1.8,1.87,2.41,0.28,0.37,0.5,0.35,0.16,0.26,1.66,1.56,1.7,2.47,2.29,2.83,4.12,0.64,0.47,0.29,0.68,0.25,0.12,0.11,1.3,2.34,1.75,0.49,0.48,2.12,11.45,1.56,0.42,0.25,0.4,0.26,0.1,2.43,1.16,5.59,3.56,14.97,6.36,2.63,0.36,31.47,22.32
"brod_stunde_1916_de.txt",1,10214,6.56,2.14,3.33,3.12,0.55,0.57,1.08,0.24,0.19,0.05,1.3,2.64,1.93,2.01,3.17,4.42,4.63,0.98,1.25,0.66,1.24,0.47,0.22,0.14,1.2,3.02,1.98,0.37,0.42,1.91,11.02,2.13,0.65,0.26,0.42,1.21,0.62,1.78,2.07,6.03,5.32,15.82,6.99,3.46,1.83,37.27,30.83
"hamsun_weiber_1922_sca.txt",1,135643,5.6,2.68,3.05,3.53,0.25,0.43,0.81,1.08,0.24,0.53,3.85,1.85,1.87,3.35,3.32,3.89,5.18,0.85,1.45,0.4,1.08,0.6,0.26,0.55,1.29,2.63,1.8,0.45,0.34,2.31,9.75,1.58,0.86,0.58,0.81,0.51,0.18,5.7,2.49,5.59,5.02,14.76,6.51,3.83,0.69,39,30.79
"dickens_copperfield_1850_en.txt",1,307167,4.74,1.8,2.61,3.97,0.46,0.4,1.07,0.9,0.33,0.63,1.63,2.93,1.8,2.84,3.63,3.34,4.67,1.3,1.51,0.55,1.57,0.65,0.36,0.42,2.04,2.97,1.58,0.58,0.35,2.22,10.59,1.51,0.78,0.66,0.62,0.48,0.19,3.49,3,5,5.9,16.17,7.52,3.57,0.67,40.32,28.36
"raabe_odfeld_1889_de.txt",1,59977,4.14,1.35,1.82,2.81,0.25,0.53,0.93,0.43,0.25,0.27,3.17,1.26,1.4,1.75,1.99,2.48,3.77,0.61,0.92,0.41,1.22,0.59,0.22,0.3,1.61,2.13,2.2,0.32,0.21,1.73,11.73,1.83,0.68,0.3,0.38,1.87,0.27,4.12,2.33,4.24,4.52,15.4,6.47,3.19,2.14,38.17,19.96
"grillparzer_kloster_1827_de.txt",1,9271,3.33,1.14,1.86,2.8,0.46,0.46,0.95,0.91,0.19,0.4,2.42,1.84,1.88,1.9,2.14,2.48,3.13,1.36,1.27,0.52,1.47,0.47,0.25,0.15,0.94,2.47,1.26,0.45,0.35,2.93,11.41,1.32,0.61,0.59,0.58,0.9,0.16,3.92,2.34,3.98,4.67,17.49,5.47,3.1,1.06,38.05,19.7
