"source","target","weight"
"schreiner_halket_1898.txt","storm_schimmelreiter_1888.txt",4
"schreiner_halket_1898.txt","kafka_verwandlung_1915.txt",3
"schreiner_halket_1898.txt","storm_doppelgaenger_1887.txt",2
"schreiner_halket_1898.txt","dickens_zwei_1859.txt",1
"kretzer_timpe_1888.txt","schubin_vollmondzauber01_1899.txt",10
"kretzer_timpe_1888.txt","polenz_buettnerbauer_1895.txt",9
"kretzer_timpe_1888.txt","mann_zauberberg_1924.txt",8
"kretzer_timpe_1888.txt","storm_basch_1887.txt",7
"kretzer_timpe_1888.txt","schnitzler_casanova_1918.txt",6
"kretzer_timpe_1888.txt","dickens_zwei_1859.txt",5
"kretzer_timpe_1888.txt","keyserling_beatemareile_1903.txt",4
"kretzer_timpe_1888.txt","mann_tonio_1903.txt",3
"kretzer_timpe_1888.txt","lasswitz_planeten01_1897.txt",2
"kretzer_timpe_1888.txt","falke_durchschnitt_1892.txt",1
"holz_hamlet_1889.txt","hamsun_sklaven_1922.txt",10
"holz_hamlet_1889.txt","kraft_medizinmann_1896.txt",9
"holz_hamlet_1889.txt","dickens_twist_1111.txt",8
"holz_hamlet_1889.txt","dickens_zwei_1859.txt",7
"holz_hamlet_1889.txt","schnitzler_traumnovelle_1926.txt",6
"holz_hamlet_1889.txt","tolstoy_herr_1916.txt",5
"holz_hamlet_1889.txt","storm_schimmelreiter_1888.txt",4
"holz_hamlet_1889.txt","schubin_vollmondzauber02_1899.txt",3
"holz_hamlet_1889.txt","storm_riew_1885.txt",2
"holz_hamlet_1889.txt","schnitzler_tanzerin_1905.txt",1
"bonsels_himmelsvolk_1915.txt","walser_gehuelfe_1908.txt",10
"bonsels_himmelsvolk_1915.txt","musil_mann.txt",9
"bonsels_himmelsvolk_1915.txt","dickens_weihnachts_1843.txt",8
"bonsels_himmelsvolk_1915.txt","lasswitz_seife_1890.txt",7
"bonsels_himmelsvolk_1915.txt","brod_beer_1912.txt",6
"bonsels_himmelsvolk_1915.txt","heiberg_grevinde_1898.txt",5
"bonsels_himmelsvolk_1915.txt","keller_sinngedicht_1882.txt",4
"bonsels_himmelsvolk_1915.txt","preuschen_yoshiwara_1920.txt",3
"bonsels_himmelsvolk_1915.txt","fontane_wuthenow_1883.txt",2
"bonsels_himmelsvolk_1915.txt","goethe_lehr.txt",1
"hagenauer_muspilli_1900.txt","brod_stunde_1916.txt",10
"hagenauer_muspilli_1900.txt","grillparzer_spielmann_1847.txt",9
"hagenauer_muspilli_1900.txt","kafka_kuebelreiter_1917.txt",8
"hagenauer_muspilli_1900.txt","kafka_betrachtung_1912.txt",7
"hagenauer_muspilli_1900.txt","bonsels_indien_1916.txt",6
"hagenauer_muspilli_1900.txt","kafka_landarzt_1920.txt",5
"hagenauer_muspilli_1900.txt","hoffmann_nacht.txt",4
"hagenauer_muspilli_1900.txt","schnitzler_tanzerin_1905.txt",3
"hagenauer_muspilli_1900.txt","brodkafka_samuel_1912.txt",2
"hagenauer_muspilli_1900.txt","kraft_medizinmann_1896.txt",1
"may_winnetou_1893.txt","may_kurdistan_1892.txt",10
"may_winnetou_1893.txt","andreas_fenitschka_1898.txt",9
"may_winnetou_1893.txt","dostoevskij_idiot.txt",8
"may_winnetou_1893.txt","reventlow_dames_1913.txt",7
"may_winnetou_1893.txt","fontane_briest_1896.txt",6
"may_winnetou_1893.txt","kafka_urteil_1913.txt",5
"may_winnetou_1893.txt","walser_jakob_1909.txt",4
"may_winnetou_1893.txt","kafka_schloss_1925.txt",3
"may_winnetou_1893.txt","may_wuste_1892.txt",2
"may_winnetou_1893.txt","hesse_knulp_1915.txt",1
"akunian_bittersuess_1891.txt","heiberg_todsunden_1891.txt",10
"akunian_bittersuess_1891.txt","bonsels_maja_1912.txt",9
"akunian_bittersuess_1891.txt","akunian_fluegel_1895.txt",8
"akunian_bittersuess_1891.txt","sapper_dummerle_1905.txt",7
"akunian_bittersuess_1891.txt","conradi_adam_1889.txt",6
"akunian_bittersuess_1891.txt","sapper_vater_1915.txt",5
"akunian_bittersuess_1891.txt","bierbaum_stilpe_1897.txt",4
"akunian_bittersuess_1891.txt","tolstoy_anna1_1920.txt",3
"akunian_bittersuess_1891.txt","kafka_prozess_1925.txt",2
"akunian_bittersuess_1891.txt","heiberg_charaktere_1901.txt",1
"achleitner_tann_1897.txt","flaubert_salambo_1863.txt",10
"achleitner_tann_1897.txt","grillparzer_kloster_1827.txt",9
"achleitner_tann_1897.txt","achleitner_bergrichters_1900.txt",8
"achleitner_tann_1897.txt","schubin_etiquette_1887.txt",7
"achleitner_tann_1897.txt","achleitner_celsissimus_1901.txt",6
"achleitner_tann_1897.txt","hauptmann_bahnwaerter_1892.txt",5
"achleitner_tann_1897.txt","raabe_odfeld_1889.txt",4
"achleitner_tann_1897.txt","meyer_monchs_1884.txt",3
"achleitner_tann_1897.txt","wassermann_spiegel_1911.txt",2
"achleitner_tann_1897.txt","meyer_borgia_1891.txt",1
"bonsels_maja_1912.txt","sapper_dummerle_1905.txt",10
"bonsels_maja_1912.txt","tolstoy_anna1_1920.txt",9
"bonsels_maja_1912.txt","heiberg_todsunden_1891.txt",8
"bonsels_maja_1912.txt","akunian_bittersuess_1891.txt",7
"bonsels_maja_1912.txt","dickens_weihnachts_1843.txt",6
"bonsels_maja_1912.txt","bierbaum_stilpe_1897.txt",5
"bonsels_maja_1912.txt","heiberg_charaktere_1901.txt",4
"bonsels_maja_1912.txt","sapper_pfaffling_1907.txt",3
"bonsels_maja_1912.txt","sapper_vater_1915.txt",2
"bonsels_maja_1912.txt","brod_beer_1912.txt",1
"hesse_knulp_1915.txt","fontane_irrungen_1888.txt",10
"hesse_knulp_1915.txt","fontane_stechlin_1899.txt",9
"hesse_knulp_1915.txt","fontane_briest_1896.txt",8
"hesse_knulp_1915.txt","reventlow_dames_1913.txt",7
"hesse_knulp_1915.txt","spyri_heidilehr_1880.txt",6
"hesse_knulp_1915.txt","walser_geschwister_1907.txt",5
"hesse_knulp_1915.txt","goethe_werther.txt",4
"hesse_knulp_1915.txt","sapper_pfaffling_1907.txt",3
"hesse_knulp_1915.txt","andreas_fenitschka_1898.txt",2
"hesse_knulp_1915.txt","spyri_heidibrauchen_1881.txt",1
