Source,Target,Type,Id,Label,timeset,Weight
dickens_zweist_1859_en,kretzer_timpe_1888_de,Undirected,1465,,,2
dickens_zweist_1859_en,meissner_prinzessin_1882_de,Undirected,1466,,,42
dickens_zweist_1859_en,schnitzler_casanova_1918_de,Undirected,1467,,,2
doeblin_butterblume_1913_de,flaubert_bovary_1857_fra,Undirected,1468,,,38
doeblin_butterblume_1913_de,flaubert_legende_1877_fra,Undirected,1469,,,50
doeblin_butterblume_1913_de,flaubert_leidenschaft_1839_fra,Undirected,1470,,,8
doeblin_butterblume_1913_de,flaubert_salambo_1863_fra,Undirected,1471,,,108
doeblin_butterblume_1913_de,flaubert_schlichtes_1877_fra,Undirected,1472,,,26
doeblin_butterblume_1913_de,hauptmann_bahnwaerter_1892_de,Undirected,1473,,,8
doeblin_butterblume_1913_de,keyserling_beatemareile_1903_de,Undirected,1474,,,116
doeblin_butterblume_1913_de,schubin_vollmondzauber02_1899_de,Undirected,1475,,,40
doeblin_butterblume_1913_de,wassermann_moloch_1902_de,Undirected,1476,,,108
doeblin_butterblume_1913_de,wassermann_vierzig_1913_de,Undirected,1477,,,2
dostoevskij_idiot_1889_ru,dostoevskij_verbrechen_1882_ru,Undirected,1480,,,240
dostoevskij_idiot_1889_ru,heiberg_charaktere_1901_de,Undirected,1481,,,4
dostoevskij_idiot_1889_ru,kafka_prozess_1925_de,Undirected,1482,,,8
dostoevskij_idiot_1889_ru,kafka_schloss_1925_de,Undirected,1483,,,18
dostoevskij_idiot_1889_ru,musil_mann2_1930_de,Undirected,1484,,,52
dostoevskij_idiot_1889_ru,musil_mann3_1930_de,Undirected,1485,,,26
dostoevskij_idiot_1889_ru,reventlow_dames_1913_de,Undirected,1486,,,42
dostoevskij_idiot_1889_ru,tolstoy_anna_1920_ru,Undirected,1487,,,60
dostoevskij_verbrechen_1882_ru,kafka_betrachtung_1912_de,Undirected,1490,,,2
dostoevskij_verbrechen_1882_ru,kafka_schloss_1925_de,Undirected,1491,,,28
dostoevskij_verbrechen_1882_ru,reventlow_dames_1913_de,Undirected,1492,,,38
dostoevskij_verbrechen_1882_ru,schnitzler_else_1924_de,Undirected,1493,,,2
dostoevskij_verbrechen_1882_ru,schnitzler_tanzerin_1905_de,Undirected,1494,,,8
dostoevskij_verbrechen_1882_ru,tolstoy_anna_1920_ru,Undirected,1495,,,50
dostoevskij_verbrechen_1882_ru,tolstoy_romanehe_1921_ru,Undirected,1496,,,176
einstein_bebuquin_1912_de,hagenauer_muspilli_1900_de,Undirected,1501,,,16
einstein_bebuquin_1912_de,lasswitz_seife_1890_de,Undirected,1502,,,36
einstein_bebuquin_1912_de,walser_jakob_1909_de,Undirected,1503,,,32
einstein_bebuquin_1912_de,walser_kleine_1914_de,Undirected,1504,,,14
einstein_bebuquin_1912_de,wassermann_spiegel_1911_de,Undirected,1505,,,54
eschstruth_katz_1886_de,hoffmann_nacht_1817_de,Undirected,1511,,,4
eschstruth_katz_1886_de,hoffmann_topf_1819_de,Undirected,1512,,,38
eschstruth_katz_1886_de,hoffmann_zaches_1819_de,Undirected,1513,,,26
eschstruth_katz_1886_de,kafka_kuebelreiter_1917_de,Undirected,1514,,,76
eschstruth_katz_1886_de,meissner_prinzessin_1882_de,Undirected,1515,,,2
eschstruth_katz_1886_de,meyer_richterin_1885_de,Undirected,1516,,,18
eschstruth_katz_1886_de,schubin_etiquette_1887_de,Undirected,1517,,,70
falke_durchschnitt_1892_de,falke_nebel_1899_de,Undirected,1519,,,62
falke_durchschnitt_1892_de,flaubert_bovary_1857_fra,Undirected,1520,,,40
falke_durchschnitt_1892_de,flaubert_schlichtes_1877_fra,Undirected,1521,,,72
falke_durchschnitt_1892_de,kafka_verwandlung_1915_de,Undirected,1522,,,2
falke_durchschnitt_1892_de,polenz_buettnerbauer_1895_de,Undirected,1523,,,138
